key,en,es,ar
All Admin Roles,All Admin Roles,Todos los roles de administración,جميع أدوار المشرف
Role Permission,Role Permission,Permiso de rol,إذن الدور
All Permissions,All Permissions,Todos los permisos,جميع الأذونات
Email To Admin,Email To Admin,Correo electrónico al administrador,البريد الإلكتروني إلى المسؤول
Choose One,Choose One,Elige uno,اختر واحدة
Select Role,Select Role,Rol de selección,حدد الدور
Language Code,Language Code,Código de lenguaje,رمز اللغة
Language Name,Language Name,Nombre del lenguaje,اسم اللغة
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة
All Admin,All Admin,Todos los administradores,كل المشرف
Download,Download,Descargar,تحميل
Import,Import,Importar,يستورد
App Settings,App Settings,Ajustes de Aplicacion,إعدادات التطبيقات
Onboard Screen,Onboard Screen,Pantalla a bordo,على متن الشاشة
iOS App URL,iOS App URL,URL de la aplicación iOS,IOS APP URL
Android App URL,Android App URL,URL de la aplicación Android,Android App URL
Splash Screen,Splash Screen,Pantalla de bienvenida,شاشة البداية
App Urls,App Urls,URL de aplicaciones,APP urls
Setup Category Type,Setup Category Type,Tipo de categoría de configuración,نوع فئة الإعداد
Setup Section,Setup Section,Sección de configuración,قسم الإعداد
Verification Center,Verification Center,Centro de verificación,مركز التحقق
GDPR Cookie,GDPR Cookie,Galleta GDPR,ملف تعريف الارتباط الناتج المحلي الإجمالي
Policy Link*,Policy Link*,Enlace de política*,رابط السياسة*
Setup Currency,Setup Currency,Moneda de configuración,الإعداد العملة
User Analytics,User Analytics,Análisis de usuarios,تحليلات المستخدم
View Users,View Users,Ver usuarios,عرض المستخدمين
Escrow Details,Escrow Details,Detalles del depósito,تفاصيل الضمان
Title,Title,Título,عنوان
Role,Role,Role,دور
Enabled Currency,Enabled Currency,Moneda habilitada,عملة ممكّنة
Supported Currency,Supported Currency,Moneda compatible,العملة المدعومة
Currency Code,Currency Code,Código de moneda,رمز العملة
Currency Symbol,Currency Symbol,Símbolo de moneda,رمز العملة
Disabled,Disabled,Desactivado,عاجز
Last Month,Last Month,El mes pasado,الشهر الماضي
This Month,This Month,Este mes,هذا الشهر
Gateway Environment,Gateway Environment,Entorno de puerta de enlace,بيئة بوابة
Gateway,Gateway,Puerta,بوابة
Solved,Solved,Resuelto,تم حلها
Escrow Profit,Escrow Profit,Ganancia de depósito en garantía,ربح الضمان
Created By,Created By,Creado por,انشأ من قبل
Product Type,Product Type,tipo de producto,نوع المنتج
Total Price,Total Price,Precio total,السعر الكلي
Charge Payer,Charge Payer,Pagador de cargos,دافع الرسوم
Status,Status,Estado,حالة
Remarks,Remarks,Observaciones,ملاحظات
Payment Details,Payment Details,Detalles del pago,بيانات الدفع
Fees & Charge,Fees & Charge,Tarifas y cargo,الرسوم والشحن
Seller Amount,Seller Amount,Cantidad del vendedor,مبلغ البائع
Available balance,Available balance,Saldo disponible,الرصيد المتوفر
Pay with,Pay With,Pagar con,ادفع عن طريق
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف
Buyer Paid,Buyer Paid,Comprador pagado,دفع المشتري
Support Chat,Support Chat,Chat de apoyo,دعم الدردشة
Escrow Category,Escrow Category,Categoría de custodia,فئة الضمان
Extensions,Extensions,Extensiones,الامتدادات
Instructions,Instructions,Instrucciones,تعليمات
Languages,Languages,Lenguas,اللغات
Language Keywords of English,Language Keywords of English,Palabras clave del idioma del inglés,الكلمات الرئيسية للغة للغة الإنجليزية
Money Out Details,Money Out Details,Detalles de Out Money,تفاصيل المال
Add Money,Add Money,Agregar dinero,إضافة المال
Update Gateway,Update Gateway,Actualización de la puerta de enlace,تحديث بوابة
Automatic Add Money,Automatic Add Money,Automático Agregar dinero,تلقائي إضافة المال
Add Automatic Gateway (Add Money),Add Automatic Gateway (Add Money),Agregar puerta de enlace automática (agregar dinero),أضف بوابة أوتوماتيكية (إضافة أموال)
gatewayImage,gatewayImage,gatewayimage,بوابة
Gateway Image,Gateway Image,Imagen de puerta de enlace,بوابة صورة
Genarate Fields,Genarate Fields,Campos de genarato,حقول الجينارات
Money Out,Money Out,Apagarse,لم يبقى اي من المال
Automatic,Automatic,Automático,تلقائي
Bonus,Bonus,Prima,علاوة
Clear Cache,Clear Cache,Limpiar cache,مسح ذاكرة التخزين المؤقت
Manual,Manual,Manual,يدوي
Method,Method,Método,طريقة
Selectable,Selectable,Seleccionable,يمكن اختياره
Encryption,Encryption,Encriptación,التشفير
Select Language,Select Language,Seleccione el idioma,اختار اللغة
Port,Port,Puerto,ميناء
Language File,Language File,Archivo de idiomas,ملف اللغة
Host,Host,Anfitrión,يستضيف
Password Change,Password Change,Cambio de contraseña,تغيير كلمة السر
Save & Change,Save & Change,Guardar cambios,حفظ وتغيير
Country,Country,País,دولة
State,State,Estado,ولاية
City,City,Ciudad,مدينة
Push Notification,Push Notification,Notificación de inserción,إشعار دفع
Browser Push Notification Configuration,Browser Push Notification Configuration,Configuración de notificación de push del navegador,تكوين إشعار دفع المتصفح
Broadcasting/ Internal Notification Configuration,Broadcasting/ Internal Notification Configuration,Configuración de transmisión/ notificación interna,تكوين الإذاعة/ الإخطار الداخلي
Send Notification,Send Notification,Enviar notificación,إرسال إشعار
Latest Notifications,Latest Notifications,Últimas notificaciones,أحدث الإخطارات
Server Info,Server Info,Información del servidor,معلومات الخادم
Version,Version,Versión,إصدار
App Name,Escroc,Escrroc,دكوس
App Environment,App Environment,Entorno de aplicaciones,بيئة التطبيق
App Debug,App Debug,Depurar la aplicación,تصحيح التطبيق
App Mode,App Mode,Modo de aplicación,وضع التطبيق
Database Connection,Database Connection,Conexión de base de datos,اتصال قاعدة البيانات
Database Host,Database Host,Host de base de datos,مضيف قاعدة البيانات
Database Port,Database Port,Puerto de base de datos,منفذ قاعدة البيانات
Database Name,Database Name,Nombre de la base de datos,اسم قاعدة البيانات
Database Username,Database Username,Nombre de usuario de la base de datos,قاعدة بيانات قاعدة البيانات
PHP Version,PHP Version,Versión php,إصدار PHP
Laravel Version,Laravel Version,Versión de Laravel,نسخة لارافيل
Server Software,Server Software,Software de servidor,برنامج الخادم
Server IP Address,Server IP Address,Dirección IP del servidor,عنوان IP الخادم
Server Protocol,Server Protocol,Protocolo de servidor,بروتوكول الخادم
Timezone,Timezone,Zona horaria,وحدة زمنية
Testimonial Section,Testimonial Section,Sección de testimonios,قسم الشهادة
App Section,App Section,Sección de la aplicación,قسم التطبيق
Contact Section,Contact Section,Sección de contacto,قسم الاتصال
Feature Section,Feature Section,Sección de características,ميزة قسم
Service Section,Service Section,Sección de servicio,قسم الخدمة
About Section,About Section,Acerca de la sección,حول القسم
Brand Section,Brand Section,Sección de marca,قسم العلامة التجارية
Banner Section,Banner Section,Banner,قسم لافتة
Setup Web Content,Setup Web Content,Configurar contenido web,إعداد محتوى الويب
Setup Email,Setup Email,Correo electrónico de configuración,إعداد البريد الإلكتروني
Email Method,Email Method,Método de correo electrónico,طريقة البريد الإلكتروني
Email Send Method*,Email Send Method*,Método de envío de correo electrónico*,طريقة إرسال البريد الإلكتروني*
Setup KYC,Setup KYC,Configurar KYC,إعداد KYC
KYC Data Form,KYC Data Form,Formulario de datos de KYC,نموذج بيانات KYC
Setup Pages,Setup Pages,Configuración de páginas,صفحات الإعداد
btn--base modal-btn,btn--base modal-btn,BTN-Base Modal-BTN,BTN-Modal-BTN
fas fa-plus me-1,fas fa-plus me-2,fas fa-plus me-2,fas fa-plus me-2
Add Item ,Add Item ,Añadir artículo,اضافة عنصر
Edit Item,Edit Item,Elemento de edición,تعديل عنصر
Ticket ID,Ticket ID,Identificación de entradas,معرف التذاكر
Support Ticket,Support Ticket,Boleto de apoyo,بطاقة الدعم
All Ticket,All Ticket,Todo el boleto,كل التذاكر
Category Name,Category Name,nombre de la categoría,اسم التصنيف
Add Category,Add Category,añadir categoría,إضافة فئة
Fees & Charges,Fees & Charges,Tarifas y cargos,الرسوم والرسوم
Useful Links,Useful Links,Enlaces útiles,روابط مفيدة
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم
Full Name,Full Name,Nombre completo,الاسم الكامل
Setup Blog Category,Setup Blog Category,Categoría de blog de configuración,فئة المدونة الإعداد
Created Time,Created Time,Tiempo creado,خلق الوقت
Username:,Username:,Nombre de usuario:,اسم المستخدم:
User Details,User Details,Detalles de usuario,بيانات المستخدم
User Image,User Image,Imagen de usuario,صورة المستخدم
Username,Username:,Nombre de usuario:,اسم المستخدم:
Last Login:,Last Login:,Último acceso:,آخر تسجيل دخول:
Information of User,Information of User,Información del usuario,معلومات المستخدم
Phone Number,Phone Number,Número de teléfono,رقم التليفون
Add/Subtract Balance,Add/Subtract Balance,Balance de suma/resta,إضافة/طرح التوازن
balance,balance,balance,توازن
Type,Type,Tipo,يكتب
User Wallet,User Wallet,Billetera del usuario,محفظة المستخدم
Setup SEO,Setup SEO,Configuración de SEO,إعداد SEO
Zip/Postal,Zip/Postal,Código postal,الرمز البريدي
Email To Users,Email To Users,Correo electrónico a los usuarios,البريد الإلكتروني للمستخدمين
All Users,All Users,Todos los usuarios,جميع المستخدمين
Edit KYC,Edit KYC,Editar kyc,تحرير KYC
Information of Logs,Information of Logs,Información de los registros,معلومات السجلات
File not found!,File not found!,¡Archivo no encontrado!,لم يتم العثور على الملف!
alert alert-primary,alert alert-primary,Alerta de alerta-primaria,التنبيه في حالة تأهب
KYC Information not submitted yet,KYC Information not submitted yet,Información de KYC aún no se ha enviado,معلومات KYC لم يتم تقديمها بعد
Login Logs,Login Logs,Iniciar sesión,سجلات تسجيل الدخول
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني
User Login Logs,User Login Logs,Registros de inicio de sesión de usuario,سجلات تسجيل الدخول المستخدم
User Email Logs,User Email Logs,Registros de correo electrónico de usuario,سجلات البريد الإلكتروني للمستخدم
Web Settings,Web Settings,Configuración web,إعدادات الويب
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو
Basic Settings,Basic Settings,Ajustes básicos,الإعدادات الأساسية
Site Base Color,Site Base Color,Color base del sitio,لون قاعدة الموقع
OTP Expiration,OTP Expiration,Vencimiento de OTP,انتهاء صلاحية OTP
input-group-text,input-group-text,text-group de entrada,إدخال مجموعة الفئة
Seconds,Seconds,Segundos,ثوان
Activation Settings,Activation Settings,Configuración de activación,إعدادات التنشيط
Search,Search,Buscar,يبحث
Type Here,Type Here,Escriba aquí,أكتب هنا
Search Engine Optimization (SEO),Search Engine Optimization (SEO),Optimización de motores de búsqueda (SEO),تحسين محرك البحث (SEO)
401 - Unauthorized,402 - Unauthorized,402 - no autorizado,402 - غير مصرح به
Pending Logs,Pending Logs,Registros pendientes,سجلات معلقة
All Logs,All Logs,Todos los registros,جميع السجلات
Unauthorized...!,Unauthorized...!,No autorizado...!,غير مصرح...!
Back To Home,Back To Home,De vuelta a casa,العودة إلى المنزل
403 - Forbidden,404 - Forbidden,404 - Prohibido,404 - ممنوع
Forbidden...!,Forbidden...!,Prohibido...!,مُحرَّم...!
404 - Page Not Found,405 - Page Not Found,405 - Página no encontrada,405 - الصفحة لم يتم العثور عليها
Page Not Found...!,Page Not Found...!,Página no encontrada...!,الصفحة غير موجودة...!
419 - Page Expired,420 - Page Expired,420 - Página expirada,420 - انتهت صلاحية الصفحة
Page Expired...!,Page Expired...!,Página expirada ...!,انتهت صلاحية الصفحة ...!
500 - Server Error,501 - Server Error,501 - Error del servidor,501 - خطأ الخادم
Server Error...!,Server Error...!,Error del Servidor...!,خطأ في الخادم...!
Public,Public,Público,عام
field-preffix-label,field-preffix-label,etiqueta de campo de campo,الميدان preffix-label
Two Factor Authorization,Two Factor Authorization,Autorización de dos factores,اثنين من التفويض عامل
Please enter your authorization code to access dashboard,Please enter your authorization code to access dashboard,Ingrese su código de autorización para acceder al tablero,الرجاء إدخال رمز التفويض الخاص بك للوصول إلى لوحة القيادة
Authorize,Authorize,Autorizar,إذن
2FA Verification,2FA Verification,VERIFICACIÓN 2FA,2FA التحقق
Email Verification,Email Verification,verificacion de email,تأكيد بواسطة البريد الالكتروني
KYC Verification,KYC Verification,Verificación de KYC,التحقق من KYC
title text--warning,title text--warning,Texto del título-Advertencia,نص العنوان-التصنيع
Permission Name,Permission Name,Nombre de permiso,اسم إذن
Asign Admin,Asign Admin,Asign Admin,asign المشرف
Permission Group,Permission Group,Grupo de permisos,مجموعة الإذن
Role Name,Role Name,Nombre de rol,اسم الدور
Your KYC information is rejected.,Your KYC information is rejected.,Su información de KYC es rechazada.,تم رفض معلومات KYC الخاصة بك.
Verify KYC,Verify KYC,Verificar KYC,تحقق من KYC
Please submit your KYC information with valid data.,Please submit your KYC information with valid data.,Envíe su información de KYC con datos válidos.,يرجى إرسال معلومات KYC الخاصة بك مع بيانات صالحة.
Back to ,Back to ,De regreso,ارجع الى
Account Authorization,Account Authorization,Autorización de cuenta,ترخيص الحساب
Need to verify your account. Please check your mail inbox to get the authorization code,Need to verify your account. Please check your mail inbox to get the authorization code,Necesita verificar su cuenta. Consulte su bandeja de entrada de correo para obtener el código de autorización,تحتاج إلى التحقق من حسابك. يرجى التحقق من صندوق البريد الخاص بك للحصول على رمز التفويض
forgot-item,forgot-item,olvidado,نسيت العنصر
You can resend the code after,You can resend the code after,Puede reenviar el código después,يمكنك إعادة تقديم الرمز بعد
time,time,tiempo,وقت
Back To Login,Back To Login,Atrás para iniciar sesión,العودة إلى تسجيل الدخول
Code,Code,Código,شفرة
Symbol,Symbol,Símbolo,رمز
Send Code,Send Code,Enviar código,إرسال الرمز
Password Reset,Password Reset,Restablecimiento de contraseña,إعادة تعيين كلمة المرور
Reset your password,Reset your password,Restablecer su contraseña,اعد ضبط كلمه السر
OTP Verification,OTP Verification,Verificación OTP,التحقق من OTP
Please check your email address to get the OTP (One time password).,Please check your email address to get the OTP (One time password).,Verifique su dirección de correo electrónico para obtener el OTP (contraseña única).,يرجى التحقق من عنوان بريدك الإلكتروني للحصول على OTP (كلمة مرور لمرة واحدة).
Verify,Verify,Verificar,يؤكد
user.register,user.register,usuario. Registrar,user.register
Register Now,Register Now,Regístrate ahora,سجل الان
Already Have An Account?,Already Have An Account?,¿Ya tienes una cuenta?,هل لديك حساب؟
KYC Information,KYC Information,Información de KYC,معلومات KYC
Please verify KYC information,Please verify KYC information,Verifique la información de KYC,يرجى التحقق من معلومات KYC
Add Balance via,Add Balance via,Agregar balance a través de,أضف التوازن عبر
Money Out via,Money Out via,Dinero a través de,المال عبر
Exchange Money,Exchange Money,Cambio de moneda,الصرافة
Balance Update From Admin,Balance Update From Admin,Actualización de equilibrio desde Admin,تحديث التوازن من المسؤول
Both,Both,Ambos,كلاهما
Escrow Conversation,Escrow Conversation,Conversación de custodia,محادثة الضمان
My Role,My Role,Mi papel,دوري
text-capitalize text-right,text-capitalize text-right,Capitalización de texto-derecha de texto,النصوص النصية النصية
text-right,text-right,derecho de texto,النص اليمين
Attachment,Attachment,Adjunto,مرفق
Wallet,Wallet,Billetera,محفظة
My Escrow,My Escrow,Mi depósito,ضواحي
Rejected,Rejected,Rechazado,مرفوض
Option,Option,Opción,خيار
Waiting,Waiting,Espera,منتظر
Escrow Manual Payment,Escrow Manual Payment,Pago manual de depósito,دفع يدوي الضمان
Optional,Optional,Opcional,خياري
Logout,Logout,Cerrar sesión,تسجيل خروج
Entered Amount,Entered Amount,Cantidad ingresada,تم إدخال المبلغ
Conversion Amount,Conversion Amount,Cantidad de conversión,مبلغ التحويل
Total Fees & Charges,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والرسوم
last,last,último,آخر
Total Payable,Total Payable,Total a pagar,إجمالي الدفع
Razorpay Payment,Razorpay Payment,Pago de Razorpay,دفعة Razorpay
Total Payable Amount,Total Payable Amount,Monto total por pagar,إجمالي المبلغ المستحق
Manual Payment,Manual Payment,Pago manual,الدفع اليدوي
Confirm Payment,Confirm Payment,Confirmar pago,تأكيد الدفع
d-block text-center,d-block text-center,D-Bloque D-Center,د بلوك النص مركز
rate-show,rate-show,show de tasas,عرض معدل
Payment Gateway,Payment Gateway,Pasarela,بوابة الدفع
Money Exchange,Money Exchange,Cambio de dinero,حوالة نقدية
Exchange From,Exchange From,Intercambiar desde,تبادل من
Exchange To,Exchange To,Intercambiar,تبادل ل
From Wallet,From Wallet,De la billetera,من محفظة
To Exchange,To Exchange,A cambio,للتبادل
Total Exchange Amount,Total Exchange Amount,Cantidad de intercambio total,إجمالي مبلغ التبادل
Converted Amount,Converted Amount,Cantidad convertida,المبلغ المحول
Total Charge,Total Charge,Carga total,القيمة الاجمالية
Will Get,Will Get,Obtendrá,سوف تحصل
Confirm,Confirm,Confirmar,يتأكد
request-amount,request-amount,cantidad de la solicitud,طلب
profile,Profile,Perfil,حساب تعريفي
Phone,Phone,Teléfono,هاتف
Deactive,Deactive,Desactivo,إلهي
Change,Change,Cambiar,يتغير
Two Factor Authenticator,Two Factor Authenticator,Autenticador de dos factores,اثنان عامل المصادقة
btn--base bg--warning w-100 active-deactive-btn,btn--base bg--warning w-100 active-deactive-btn,BTN-Base BG-Harning W-100 Active-Deactive-BTN,BTN-Base BG-W-100 Active-Deactive-BTN
Disable,Disable,Desactivar,إبطال
text--danger mt-3,text--danger mt-4,Texto-Danger MT-4,نص-خطر MT-4
t login in your account.,t login in your account.,t Inicie sesión en su cuenta.,T تسجيل الدخول في حسابك.
btn--base w-100 active-deactive-btn,btn--base w-100 active-deactive-btn,BTN-Base W-100 Active-Deactive-BTN,BTN-قاعدة W-100 النشط BTN
Blog Edit,Blog Edit,Blog Editar,تحرير المدونة
Enable,Enable,Permitir,يُمكَِن
Google Authenticator,Google Authenticator,Autenticador de Google,مصادقة Google
